Sistema Aire-Vidrio;;Sistema Aire-Agua;;Sistema Aire-Acrílico;;SistemaVidrio-Aire;;Sistema Agua-Aire;;Sistema Acrílico-Aire;
Theta_i_1;Reflec_1;Theta_i_2;Reflec_2;Theta_i_3;Reflec_3;Theta_i_4;Reflec_4;Theta_i_5;Reflec_5;Theta_i_6;Reflec_6
5;4.03;5;2.05;5;3.91;5;4.09;5;2.08;5;3.97
10;4.15;10;2.13;10;4.02;10;4.42;10;2.19;10;4.24
15;4.37;15;2.24;15;4.24;15;4.92;15;2.42;15;4.77
20;4.67;20;2.42;20;4.54;20;5.86;20;2.83;20;5.69
25;5.13;25;2.72;25;4.95;25;7.45;25;3.44;25;7.24
30;5.73;30;3.01;30;5.58;30;10.61;30;4.64;30;9.57
40;7.57;40;4.19;40;7.38;40;100.00;40;10.52;40;32.94
50;11.05;50;6.55;50;10.70;50;100.00;50;100.00;50;100.00
60;17.20;60;10.92;60;16.87;60;100.00;60;100.00;60;100.00
